Agent,Period,Job,PP,h_cum,h,c,w
7,31,0,1,74333.33333333333,2166.6666666666715,68468.9440592395,73899.92121019648
7,32,3,0,76500.0,2166.6666666666715,56502.002996712254,57045.0746432567
7,33,0,1,78666.66666666666,2166.666666666657,69177.39094138956,74897.73372026699
7,34,0,0,80833.33333333333,2166.6666666666715,63253.013892486066,66553.54069364235
7,35,4,0,83000.0,2166.6666666666715,54563.60339157316,54314.9343543284
7,36,1,0,85166.66666666666,2166.666666666657,61555.060300456134,64162.05676120583
7,37,0,1,87333.33333333333,2166.6666666666715,70506.32669863764,76769.4742234333
7,38,3,0,89500.0,2166.6666666666715,58167.28201667191,59390.53805165058
7,39,1,1,91666.66666666666,2166.666666666657,64897.74774987915,68870.06725335092
7,40,0,0,93833.33333333333,2166.6666666666715,68654.4766286216,74161.23468819943
8,1,0,1,7166.666666666666,2166.666666666666,14951.189841784351,39993.52164521146
8,2,2,0,9333.333333333332,2166.666666666666,6776.789209818227,27359.45107387296
8,3,0,0,11500.0,2166.666666666668,17890.8384857945,41892.21135879139
8,4,1,0,13666.666666666666,2166.666666666666,16736.55053794647,39145.623441140306
8,5,0,1,15833.333333333332,2166.666666666666,25522.816261045882,50399.815341725094
8,6,1,0,18000.0,2166.666666666668,20641.23139909421,42403.51346054779
8,7,3,0,20166.666666666664,2166.6666666666642,19742.32479697764,40016.617579138314
8,8,3,0,22333.333333333332,2166.666666666668,19380.834401644766,38386.64593263529
8,9,4,1,24500.0,2166.666666666668,23201.12120391321,42646.501325007535
8,10,6,1,26666.666666666664,2166.6666666666642,28592.233171899134,49118.78652824937
8,11,3,0,28833.333333333332,2166.666666666668,25859.009594504507,44148.345611236844
8,12,0,0,31000.0,2166.666666666668,34742.14091142658,55538.96792565644
8,13,6,1,33166.666666666664,2166.6666666666642,52813.82707554651,51850.460669783824
8,14,6,1,35333.33333333333,2166.6666666666642,50862.50460643197,49102.11916398869
8,15,6,0,37500.0,2166.6666666666715,48964.072631650415,46428.271312183686
8,16,6,1,39666.666666666664,2166.6666666666642,51861.16187308342,50508.67869448369
8,17,1,0,41833.33333333333,2166.6666666666642,53876.82168669386,53347.63617844206
8,18,4,1,44000.0,2166.6666666666715,50981.03128885466,49269.05815331642
8,19,4,0,46166.666666666664,2166.6666666666642,46884.63982840138,43499.49271605828
8,20,1,0,48333.33333333333,2166.6666666666642,55341.347621838875,55410.34876315335
8,21,6,1,50500.0,2166.6666666666715,56773.174918281984,57427.00692715772
8,22,0,1,52666.666666666664,2166.6666666666642,64332.795237127866,68074.3594889125
8,23,1,0,54833.33333333333,2166.6666666666642,56658.47270856674,57265.45451910808
8,24,0,0,57000.0,2166.6666666666715,92453.83798056206,79660.70582881237
8,25,0,1,59166.666666666664,2166.6666666666642,41647.283055057145,65264.52024062908
8,26,7,0,61333.33333333333,2166.6666666666642,45793.82445441604,41963.13303438879
8,27,0,0,63499.99999999999,2166.6666666666642,63621.885078676685,67073.07757560097
8,28,6,1,65666.66666666666,2166.6666666666642,59414.593123686995,61147.314258714076
